Outward,lat,lon
BN25,50.818239484092864,548681.9457831326
BN26,51.04535749620638,556852.8201219512
BN27,50.90446814814814,559311.5778997941
BN3,50.8536419914096,528583.238671875
BN4,50.84931840312278,522842.37047551456
BN41,50.99006075384616,525784.5787037037
BN42,50.83670305084746,524585.186440678
BN43,50.89719928301887,522040.73299748113
BN44,50.8927570194986,518344.5793871866
BN45,50.88849649122807,527862.947368421
BN5,51.13684709327549,521833.6906318083
BN50,52.057030131752306,531043.4540540541
BN51,52.13441945945946,536888.0
BN52,51.5713472,529100.2284263959
BN6,50.988628331332535,529943.1201923077
BN7,51.76786077366255,541025.7812238055
BN8,50.91275472488038,544249.2105263158
BN88,50.82689135135135,531054.1351351351
BN9,50.885939834101386,542970.8771929825
BN91,100.0,
BN95,50.82315,517721.0
BN99,50.822446787072245,516307.05323193915
BR1,51.410720262655204,540542.4403056351
BR2,51.39037161107168,540757.0099361249
BR3,51.40325649236465,536994.8070337806
BR4,52.10009973509934,538602.618487395
BR5,51.38919092155369,546386.5666412795
BR6,52.31267482285715,545780.013986014
BR7,51.80574290540541,543271.3215258856
BR8,51.53706857962697,551400.9165467626
BR98,100.0,
BS0,51.34388,333439.0
BS1,52.411140980281694,358953.2051724138
BS10,51.50615924160346,357637.3770314193
BS11,51.498803797468355,353004.8151898734
BS12,51.555454645426515,361342.59044193215
BS13,51.412032321644496,357572.89600967354
BS14,51.41311140770253,360891.33864541835
BS15,51.776647797270954,365611.0270800628
BS16,51.78394678324366,364518.2030162413
BS17,51.52887568580061,369417.21873111784
BS18,51.36747919721577,359449.57308584685
BS19,51.407539505637466,346547.21682567213
BS2,51.608043039918115,359730.9712525667
BS20,51.741680437121715,347516.5321162948
BS21,51.43624436382755,340921.4584647739
BS22,51.360634200524245,335466.19593709044
BS23,51.40534401524778,332587.0935114504
BS24,51.33173527687296,335710.69815418025
BS25,51.32098626470589,342504.9617647059
BS26,51.28042368965517,340776.424137931
BS27,51.80392904632152,346156.4490358127
BS28,51.22724644628099,343167.152892562
BS29,51.33211443037975,339004.14556962025
BS3,51.77688833591331,358152.93452844897
BS30,51.44643014348785,367063.2759381898
BS31,51.40974808460634,365781.5111633373
BS32,51.54150078683834,361186.7682403434
BS34,52.21423146129542,360743.0641025641
BS35,51.597595658682636,362186.25249501
BS36,52.10222921901528,366245.59793814435
BS37,51.90628413715147,371058.70539104025
BS38,100.0,
BS39,51.32809316005472,362968.98358413135
BS4,51.43640716713881,360855.09773371107
BS40,51.347022405063285,351773.7986191024
BS41,51.42361648,354572.696
BS48,51.860196150793655,347966.1201201201
BS49,51.382784470588234,343296.97882352944
BS5,51.493023695238094,361687.3824650572
BS6,51.73943857539316,358552.82790697674
BS7,51.48673838129497,359737.17865707434
BS77,51.43871,358286.0
BS8,51.57516553759094,357064.6280388979
BS80,51.50351157894736,357533.5789473684
BS9,52.312016742118026,356687.8634868421
BS98,51.459365294117646,359479.9411764706
BS99,51.506721321230465,360120.4058556285
BT1,67.47988489456868,146360.9888789474
BT10,66.37151214067278,142348.29245743802
BT11,54.987558688524594,141711.4327788603
BT12,54.88073831746031,144519.05415591056
BT13,58.101943291925465,144465.02945706595
BT14,54.90865484157161,144304.95426734694
BT15,55.10354898584906,146291.46669034567
BT16,54.82310613810742,154732.79291658098
BT17,54.842707993630576,140171.07805560896
BT18,58.49169243396227,153364.5206127835
BT19,55.06943404119318,164131.55488845878
BT2,55.64331086705202,146177.99704053256
BT20,61.53576941354904,163678.00138128723
BT21,54.96064151408451,171171.63742269503
BT22,54.862162755905516,172499.2793657143
BT23,57.54600315591144,160461.94239899196
BT24,54.57743357267951,148896.2847984183
BT25,54.39642856862745,132991.18061862746
BT26,54.60269957654723,136601.18781568628
BT27,55.345513196605374,139574.14921512967
BT28,60.486331131928175,135804.66969074574
BT29,54.73507007556675,129129.22068333335
BT3,56.55532457317073,147966.97082802549
BT30,56.38309739370079,159359.27588417148
BT31,54.27623526490066,141771.31999966886
BT32,57.6992668009206,124004.90729440993
BT33,54.89272087719298,146485.701778635
BT34,54.483425342136854,127069.98298603387
BT35,57.819847479892765,110362.35548281136
BT36,57.93367515271493,144822.53942705668
